Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
Security Surcharge - Greater of (Min Rate EUR 0;10; 648 Kilogram(s) @ EUR 0;10/KG),Security Surcharge - Greater of (Min Rate EUR 0;10; 648 Kilogram(s) @ EUR 0;10/KG),1,64.8,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min 290 Kilogram(s) @ EUR 0;10/KG),Security Surcharge Greater of (Min 290 Kilogram(s) @ EUR 0;10/KG),1,29.0,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min 625 Kilogram(s) @ EUR 0;10/KG),Security Surcharge Greater of (Min 625 Kilogram(s) @ EUR 0;10/KG),1,62.5,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min Rate,Security Surcharge Greater of (Min Rate,1,27.4,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min Rate EUR 0;10;,Security Surcharge Greater of (Min Rate EUR 0;10;,2,149.95,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min Rate EUR 0;10; 504 Kilogram(s) @ EUR 0;10/KG),Security Surcharge Greater of (Min Rate EUR 0;10; 504 Kilogram(s) @ EUR 0;10/KG),1,50.4,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min Rate EUR 0;10; 588;5 Kilogram(s) @ EUR 0;10/KG),Security Surcharge Greater of (Min Rate EUR 0;10; 588;5 Kilogram(s) @ EUR 0;10/KG),1,58.85,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min Rate EUR 0;10; 80 Kilogram(s) @ EUR 0;10/KG),Security Surcharge Greater of (Min Rate EUR 0;10; 80 Kilogram(s) @ EUR 0;10/KG),1,8.0,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min Rate EUR 0;10; Zero Rated 1.,Security Surcharge Greater of (Min Rate EUR 0;10; Zero Rated 1.,1,10.0,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min Rate EUR 122;5 Kilogram(s) @ EUR 0;10/KG),Security Surcharge Greater of (Min Rate EUR 122;5 Kilogram(s) @ EUR 0;10/KG),1,12.25,Accessorial / Delivery Surcharge,Security Surcharge,rule
